variant_id,T_K,I_peak,width,S_peak,kappa1,collapse_rmse
ip_max__w_fwhm__sp_local_median__sc_rms,12,35,17.5091523375039,0.15927716213462,NaN,0.106389095615061
ip_max__w_fwhm__sp_local_median__sc_rms,14,35,16.5232967451266,0.124701192359837,NaN,0.125564278496345
ip_max__w_fwhm__sp_local_median__sc_rms,16,35,15.3577651079767,0.099398653953913,NaN,0.148520315794518
ip_max__w_fwhm__sp_local_median__sc_rms,18,35,14.52578362199,0.0864861551912553,NaN,0.150401080019607
ip_max__w_fwhm__sp_local_median__sc_rms,20,35,15.0734059235043,0.0814300845096031,NaN,0.0624314180442729
ip_max__w_fwhm__sp_local_median__sc_rms,22,30,17.2137025922607,0.0832202553642621,0.414973351358606,0.335882733923921
ip_max__w_fwhm__sp_local_median__sc_rms,24,30,12.5009863451298,0.0545631856614726,0.0514160584659743,0.198709751030489
ip_max__w_fwhm__sp_local_median__sc_rms,26,30,13.100114869552,0.0693882621296171,-0.354153040729889,0.250028217021381
ip_max__w_fwhm__sp_local_median__sc_rms,28,25,10.2742671408049,0.0428984469542497,-0.0446847223076466,0.300614923669832
ip_max__w_fwhm__sp_local_median__sc_rms,30,20,8.70317861525431,0.0380258836809851,NaN,0.574667621446071
ip_max__w_fwhm__sp_local_median__sc_rms,32,15,30,0.0451439029157808,-1.46065481300148,0.533504471640019
ip_max__w_fwhm__sp_local_median__sc_rms,34,30,6.27666287147563,0.000552867428264816,NaN,1.07185685693302
ip_max__w_fwhm__sp_local_median__sc_asymmetric,4,35,21.4741266295253,0.268847171789871,0.0420214507700579,0.126851117083462
ip_max__w_fwhm__sp_local_median__sc_asymmetric,6,35,21.1673597661233,0.250488593439895,-0.0340064186012749,0.0901279510143661
ip_max__w_fwhm__sp_local_median__sc_asymmetric,8,35,20.1257057835343,0.2344494992722,-0.173855701513876,0.130172490119825
ip_max__w_fwhm__sp_local_median__sc_asymmetric,10,35,18.8978502373663,0.200197314257807,-0.240776663722876,0.133434350919822
ip_max__w_fwhm__sp_local_median__sc_asymmetric,12,35,17.5091523375039,0.15927716213462,NaN,0.056380675830562
ip_max__w_fwhm__sp_local_median__sc_asymmetric,14,35,16.5232967451266,0.124701192359837,NaN,0.0484683731468559
ip_max__w_fwhm__sp_local_median__sc_asymmetric,16,35,15.3577651079767,0.099398653953913,NaN,0.0944158948389012
ip_max__w_fwhm__sp_local_median__sc_asymmetric,18,35,14.52578362199,0.0864861551912553,NaN,0.0995491045796094
ip_max__w_fwhm__sp_local_median__sc_asymmetric,20,35,15.0734059235043,0.0814300845096031,NaN,0.0714734348340944
ip_max__w_fwhm__sp_local_median__sc_asymmetric,22,30,17.2137025922607,0.0832202553642621,0.376606907861294,0.300478139992422
ip_max__w_fwhm__sp_local_median__sc_asymmetric,24,30,12.5009863451298,0.0545631856614726,0.0853733429585969,0.126618293964187
ip_max__w_fwhm__sp_local_median__sc_asymmetric,26,30,13.100114869552,0.0693882621296171,NaN,0.263690925396124
ip_max__w_fwhm__sp_local_median__sc_asymmetric,28,25,10.2742671408049,0.0428984469542497,NaN,0.230657991451554
ip_max__w_fwhm__sp_local_median__sc_asymmetric,30,20,8.70317861525431,0.0380258836809851,NaN,0.498983947642867
ip_max__w_fwhm__sp_local_median__sc_asymmetric,32,15,30,0.0451439029157808,NaN,0.031643639919783
ip_max__w_fwhm__sp_local_median__sc_asymmetric,34,30,6.27666287147563,0.000552867428264816,NaN,0.465933954756969
ip_max__w_rms__sp_max__sc_fwhm,4,35,8.06244370347118,0.349600045040287,0.391172369183266,0.14885904223579
ip_max__w_rms__sp_max__sc_fwhm,6,35,8.00603915807115,0.341950817738385,0.354190756738024,0.127173069672938
ip_max__w_rms__sp_max__sc_fwhm,8,35,7.85061460579741,0.311011499245369,0.278434866476007,0.0881306837803698
ip_max__w_rms__sp_max__sc_fwhm,10,35,7.73708119613796,0.265625424732821,0.10751281553004,0.0666000832526363
ip_max__w_rms__sp_max__sc_fwhm,12,35,7.58944959696181,0.232986037937288,0.101773545680224,0.0641431922513293
ip_max__w_rms__sp_max__sc_fwhm,14,35,7.60126970671822,0.192544819951381,0.100034059635563,0.0638901585721818
ip_max__w_rms__sp_max__sc_fwhm,16,35,7.64528156331271,0.162443432649134,0.0735336722830185,0.0601949341737082
ip_max__w_rms__sp_max__sc_fwhm,18,35,7.40068234592266,0.142095227831458,0.0214439542932208,0.068147549675854
ip_max__w_rms__sp_max__sc_fwhm,20,35,7.44628935345436,0.118297407736058,-0.00353059254165362,0.0447451455538042
ip_max__w_rms__sp_max__sc_fwhm,22,30,7.19238059895516,0.0848252860423066,0.308043375719315,0.193226289400962
ip_max__w_rms__sp_max__sc_fwhm,24,30,6.76709591522856,0.0930645821294685,0.416854423348554,0.128068293761957
ip_max__w_rms__sp_max__sc_fwhm,26,30,6.16925405449728,0.0732255508855988,0.0898798306100495,0.16651310040166
ip_max__w_rms__sp_max__sc_fwhm,28,25,5.61354498833746,0.0809671274875996,0.0051130310258779,0.210048633905621
ip_max__w_rms__sp_max__sc_fwhm,30,20,5.51684023494123,0.0879097809338481,-0.0124410725933748,0.292262925681859
ip_max__w_rms__sp_max__sc_fwhm,32,15,5.58735278841876,0.0695147785421419,-0.801306703597932,0.346677444464861
ip_max__w_rms__sp_max__sc_fwhm,34,30,2.35481370000717,0.00111194952316543,-0.887343391887339,0.600848153029322
ip_max__w_rms__sp_max__sc_rms,4,35,8.06244370347118,0.349600045040287,0.208927664104033,0.150850928848889
ip_max__w_rms__sp_max__sc_rms,6,35,8.00603915807115,0.341950817738385,0.16678915268151,0.128069518823228
ip_max__w_rms__sp_max__sc_rms,8,35,7.85061460579741,0.311011499245369,0.0844644596187539,0.0882963726699354
ip_max__w_rms__sp_max__sc_rms,10,35,7.73708119613796,0.265625424732821,NaN,0.064172629201774
