x,T_4_000K,T_6_000K,T_8_000K,T_10_000K,T_12_000K,T_14_000K,T_16_000K,T_18_000K,T_20_000K,T_22_000K,T_24_000K,T_26_000K,T_28_000K,T_30_000K
-0.0745962249394011,0.0360983681722939,0.0328414595612224,0.0270837870684593,0.0210591411327686,0.0159824778696206,0.0134010310963813,0.00990646765421265,0.00729515015804483,0.00534763719850879,0.000492622101375289,-0.00348066822677466,-0.00074997438483922,-0.00273258383481499,0.0240612523795536
-0.0687833584333332,0.0374099878244575,0.0339864011535423,0.0280061852093531,0.0218536783237751,0.0169683289320022,0.0143030988288193,0.010735812350378,0.00801878304770347,0.00583771174619269,0.00106848469790583,-0.00298267605963973,-0.000691533076507832,-0.00251964886308791,0.023898872945816
-0.0629704919272652,0.0387216074766211,0.0351313427458622,0.0289285833502469,0.0226482155147815,0.0179541799943838,0.0152051665612573,0.0115651570465434,0.00874241593736211,0.00632778629387658,0.00164434729443637,-0.00248468389250481,-0.000633091768176445,-0.00230671389136082,0.0237364935120784
-0.0571576254211973,0.0400332271287847,0.0362762843381821,0.0298509814911407,0.023442752705788,0.0189400310567653,0.0161072342936954,0.0123945017427087,0.00946604882702075,0.00681786084156047,0.00222020989096691,-0.00198669172536988,-0.000574650459845059,-0.00209377891963374,0.0235741140783408
-0.0513447589151294,0.0413448467809483,0.037421225930502,0.0307733796320345,0.0242372898967944,0.0199258821191469,0.0170093020261334,0.0132238464388741,0.0101896817166794,0.00730793538924436,0.00279607248749746,-0.00148869955823496,-0.000516209151513671,-0.00188084394790666,0.0234117346446033
-0.0455318924090614,0.0426564664331119,0.0385661675228219,0.0316957777729283,0.0250318270878008,0.0209117331815285,0.0179113697585714,0.0140531911350394,0.010913314606338,0.00779800993692826,0.003371935084028,-0.000990707391100034,-0.000457767843182284,-0.00166790897617957,0.0232493552108657
-0.0397190259029935,0.0439680860852755,0.0397111091151418,0.0326181759138222,0.0258263642788073,0.0218975842439101,0.0188134374910095,0.0148825358312048,0.0116369474959967,0.00828808448461215,0.00394779768055854,-0.000492715223965109,-0.000399326534850897,-0.00145497400445249,0.0230869757771281
-0.0339061593969255,0.0452797057374391,0.0408560507074617,0.033540574054716,0.0266209014698137,0.0228834353062916,0.0197155052234475,0.0157118805273702,0.0123605803856553,0.00877815903229604,0.00452366027708908,5.27694316981506e-06,-0.00034088522651951,-0.00124203903272541,0.0229245963433905
-0.0280932928908577,0.0465913253896027,0.0420009922997816,0.0344629721956098,0.0274154386608201,0.0238692863686732,0.0206175729558855,0.0165412252235355,0.0130842132753139,0.00926823357997993,0.00509952287361962,0.000503269110304728,-0.000282443918188124,-0.00102910406099833,0.022762216909653
-0.0222804263847898,0.0479029450417663,0.0431459338921015,0.0353853703365036,0.0282099758518266,0.0248551374310548,0.0215196406883236,0.0173705699197009,0.0138078461649726,0.00975830812766382,0.00567538547015016,0.00100126127743965,-0.000224002609856737,-0.000816169089271247,0.0225998374759154
-0.0164675598787218,0.0492145646939299,0.0442908754844214,0.0363077684773974,0.029004513042833,0.0258409884934364,0.0224217084207616,0.0181999146158662,0.0145314790546312,0.0102483826753477,0.0062512480666807,0.00149925344457458,-0.00016556130152535,-0.000603234117544164,0.0224374580421778
-0.0106546933726539,0.0505261843460935,0.0454358170767413,0.0372301666182912,0.0297990502338394,0.0268268395558179,0.0233237761531996,0.0190292593120316,0.0152551119442899,0.0107384572230316,0.00682711066321124,0.0019972456117095,-0.000107119993193963,-0.000390299145817081,0.0222750786084402
-0.00484182686658596,0.0518378039982571,0.0465807586690612,0.038152564759185,0.0305935874248459,0.0278126906181995,0.0242258438856377,0.0198586040081969,0.0159787448339485,0.0112285317707155,0.00740297325974178,0.00249523777884443,-4.86786848625755e-05,-0.000177364174089998,0.0221126991747027
0.000971039639481974,0.052668878860374,0.0472522616574273,0.0386128566679053,0.0309741846185758,0.0283913419366406,0.0247779566663638,0.0203813255492839,0.0164326489491357,0.0115035794839354,0.00786331781066138,0.00280950203038849,-0.000105212184551262,-8.34056820147421e-05,0.0218538592670123
