"row_type","item_path","run_id","execution_status_missing_before","report_missing_before","figures_manifest_missing_before","execution_status_written","execution_status_backfilled_value","report_written","report_target_path","figures_manifest_written","figures_detected_count","has_run_manifest","has_error_log","script_path_from_manifest","classification","used_in_runs","usage_count","strategy_reason","completed_after"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_211204_aging_dataset_build","run_2026_03_12_211204_aging_dataset_build","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_211204_aging_dataset_build\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_213819_aging_log_time_scaling_test","run_2026_03_12_213819_aging_log_time_scaling_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_213819_aging_log_time_scaling_test\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_213923_aging_component_clock_test","run_2026_03_12_213923_aging_component_clock_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_213923_aging_component_clock_test\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_213929_aging_timescale_extraction","run_2026_03_12_213929_aging_timescale_extraction","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_213929_aging_timescale_extraction\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_214012_aging_log_time_scaling_test","run_2026_03_12_214012_aging_log_time_scaling_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_214012_aging_log_time_scaling_test\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_214126_aging_timescale_extraction","run_2026_03_12_214126_aging_timescale_extraction","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_214126_aging_timescale_extraction\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_214127_aging_component_clock_test","run_2026_03_12_214127_aging_component_clock_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_214127_aging_component_clock_test\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_222238_aging_time_rescaling_collapse","run_2026_03_12_222238_aging_time_rescaling_collapse","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_222238_aging_time_rescaling_collapse\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223427_aging_timescale_extraction","run_2026_03_12_223427_aging_timescale_extraction","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223427_aging_timescale_extraction\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223709_aging_timescale_extraction","run_2026_03_12_223709_aging_timescale_extraction","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223709_aging_timescale_extraction\reports\report.md","YES","6","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223712_aging_log_time_scaling_test","run_2026_03_12_223712_aging_log_time_scaling_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223712_aging_log_time_scaling_test\reports\report.md","YES","6","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223741_aging_component_clock_test","run_2026_03_12_223741_aging_component_clock_test","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223741_aging_component_clock_test\report.md","YES","6","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_224309_aging_time_rescaling_collapse","run_2026_03_12_224309_aging_time_rescaling_collapse","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_224309_aging_time_rescaling_collapse\reports\report.md","YES","0","YES","NO","","","","","","YES"
"run","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_224808_aging_timescale_extraction","run_2026_03_12_224808_aging_timescale_extraction","YES","YES","YES","YES","SUCCESS","YES","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_224808_aging_timescale_extraction\report.md","YES","0","YES","NO","","","","","","YES"
