combo_id,t0_choice,normalization_choice,window_choice,supported,n_valid_traces,trace_corr_median,nrmse_median,nrmse_worst,log_slope_consistency_median,amplitude_like,timescale_like_s,mean_log_slope,rel_change_amplitude,rel_change_timescale,rel_change_mean_log_slope,median_temp_sensitivity,worst_temp_sensitivity,temp_of_worst_sensitivity_K,instability_localized_at_specific_T,stable_under_thresholds,stability_rank,stability_score
combo_11,post_settling_start_10pct,none,early_heavy_70pct,true,19,0.340344837631499,0.551123351659537,0.616802103786387,0.0184141369518098,0.0932999058653805,133.009996785671,-0.00123150887575841,2.06574139902166,0.707084616619822,0.900811752283367,0.551123351659537,0.616802103786387,35,NO,false,9,4.72490787988428
combo_12,post_settling_start_10pct,none,conservative_late_trimmed_85pct,true,19,0.343824766397378,0.543357747893579,0.605853664857556,0.0333718292049042,0.093298723308293,133.010397092356,-0.00101194830951106,2.06570254138096,0.707083735062128,0.918495610079629,0.543357747893579,0.605853664857556,35,NO,false,8,4.68771735852981
combo_13,post_settling_start_10pct,initial_amplitude_y_over_y0,full_usable_window,true,19,-0.166638791724788,6.24728032663503,8.78265514644946,-0.0538731886875042,1.00010397917098,133.010490204431,-0.00918160561340606,31.8624144240262,0.707083530010179,0.260494674503991,6.24728032663503,8.78265514644946,23,NO,false,13,48.962861877523
combo_14,post_settling_start_10pct,initial_amplitude_y_over_y0,early_heavy_70pct,true,19,-0.231535799377056,6.40284034846587,8.71028869681509,-0.0184141369518156,1.00010999525445,133.009996785671,-0.0130829018660224,31.8626121064996,0.707084616619822,0.0537237178581268,6.40284034846587,8.71028869681509,23,NO,false,15,49.0756910881094
combo_15,post_settling_start_10pct,initial_amplitude_y_over_y0,conservative_late_trimmed_85pct,true,19,-0.194687771532134,6.30947401708485,8.756232281746,-0.0168166799045497,1.00009669568578,133.010397092356,-0.0107504060160892,31.8621750960023,0.707083735062128,0.134140276235069,6.30947401708485,8.756232281746,23,NO,false,14,48.9893858462698
combo_16,post_settling_start_10pct,tail_referenced_contrast,full_usable_window,true,19,0.392126788452669,5.85496956118707,11.9591747051417,0.0538731886874955,1,133.010490204431,-0.0559098888108228,31.8589977726786,0.707083530010179,3.50309698154803,5.85496956118707,11.9591747051417,39,YES,false,16,51.0771420618672
combo_17,post_settling_start_10pct,tail_referenced_contrast,early_heavy_70pct,true,19,0.340344837631499,5.97986711692936,35.6662363122724,6.63724876378988e-05,1,133.009996785671,-0.0798790889239661,31.8589977726786,0.707084616619822,5.43362546184653,5.97986711692936,35.6662363122724,39,YES,false,23,75.0146899917612
combo_18,post_settling_start_10pct,tail_referenced_contrast,conservative_late_trimmed_85pct,true,19,0.343824766397378,5.94622277100776,34.5326496898144,0.0333718292049042,1,133.010397092356,-0.0491454636131361,31.8589977726786,0.707083735062128,2.95827631855801,5.94622277100776,34.5326496898144,39,YES,false,21,73.8106736378985
combo_19,conservative_delayed_start_20pct,none,full_usable_window,true,19,0.529133020273968,0.561754212426215,0.645119330733295,0.0158554046922362,7.58281058184138e-06,334.19710229564,-5.05778609814276e-06,0.999750836443981,0.264029210517076,0.9995926355463,0.561754212426215,0.645119330733295,13,NO,false,4,3.51163595463729
combo_20,conservative_delayed_start_20pct,none,early_heavy_70pct,true,19,0.459636677920406,0.576266278045742,0.66740791743323,0.0321240074059602,6.87664371777219e-06,232.938342840891,-4.17190635433815e-06,0.999774040379394,0.487021835605871,0.999663986115675,0.576266278045742,0.66740791743323,13,NO,false,6,3.601687550532
combo_21,conservative_delayed_start_20pct,none,conservative_late_trimmed_85pct,true,19,0.503265601660075,0.568156254042711,0.655307309103361,0.0286329642079758,7.31989513092732e-06,332.262138403956,-4.70362541143862e-06,0.999759475582197,0.2682903991785,0.999621160373539,0.568156254042711,0.655307309103361,13,NO,false,5,3.54132447286022
combo_22,conservative_delayed_start_20pct,initial_amplitude_y_over_y0,full_usable_window,true,19,-0.529133020273968,8.29987514878306,9.60159198255784,-0.0158554046922366,0.0690016542320779,334.19710229564,0.0418041148499604,1.26732520272299,0.264029210517076,4.36698904972073,8.29987514878306,9.60159198255784,3,NO,false,11,24.6634446060278
combo_23,conservative_delayed_start_20pct,initial_amplitude_y_over_y0,early_heavy_70pct,true,19,-0.459636677920407,8.24296811782326,9.25956656152137,-0.0321240074059588,0.0619810967277237,232.938342840891,0.0481341906017956,1.03663671932445,0.487021835605871,4.87682631853571,8.24296811782326,9.25956656152137,3,NO,false,12,24.7211216832067
combo_24,conservative_delayed_start_20pct,initial_amplitude_y_over_y0,conservative_late_trimmed_85pct,true,19,-0.503265601660075,8.26385878708679,9.3995108602113,-0.0286329642079782,0.0674661641587511,332.262138403956,0.0428242175852449,1.21687053782357,0.2682903991785,4.449150213798,8.26385878708679,9.3995108602113,3,NO,false,10,24.4944184269641
combo_25,conservative_delayed_start_20pct,tail_referenced_contrast,full_usable_window,true,19,0.529133020273968,6.44224948290166,83.0826727273897,0.0158554046922407,1,334.19710229564,-0.690628107854851,31.8589977726786,0.264029210517076,54.6246026239886,6.44224948290166,83.0826727273897,35,YES,false,26,145.454536409314
combo_26,conservative_delayed_start_20pct,tail_referenced_contrast,early_heavy_70pct,true,19,0.459636677920407,6.46741341006043,27.6729329620345,0.0321240074059588,1,232.938342840891,-0.803757552969853,31.8589977726786,0.487021835605871,63.736279889978,6.46741341006043,27.6729329620345,39,YES,false,25,99.2348655767465
