experiment,sample,temperature,observable,value,units,role,source_run
switching,Amp Temp Dep all_P2P_percent,14,S_peak,0.192544819951381,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,14,asym,0.553530449142556,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,14,halfwidth_diff_norm,-1,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,14,width_I,5,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,16,I_peak,35,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,16,S_peak,0.162443432649134,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,16,asym,0.499649554266865,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,16,halfwidth_diff_norm,-1,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,16,width_I,5,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,18,I_peak,35,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,18,S_peak,0.142095227831458,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,18,asym,0.421296726713399,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,18,halfwidth_diff_norm,-1,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,18,width_I,5,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,20,I_peak,35,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,20,S_peak,0.118297407736058,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,20,asym,0.316520064232563,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,20,halfwidth_diff_norm,-1,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,20,width_I,5,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,22,I_peak,30,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,22,S_peak,0.0848252860423066,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,22,asym,3.75656233130824,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,22,halfwidth_diff_norm,0,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,22,width_I,10,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,24,I_peak,30,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,24,S_peak,0.0930645821294685,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,24,asym,1.91457763737692,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,24,halfwidth_diff_norm,0,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,24,width_I,10,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,26,I_peak,30,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,26,S_peak,0.0732255508855988,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,26,asym,0.709846919036628,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,26,halfwidth_diff_norm,-1,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,26,width_I,5,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,28,I_peak,25,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,28,S_peak,0.0809671274875996,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,28,asym,1.68164124189188,unitless,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,28,halfwidth_diff_norm,-1,unitless,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,28,width_I,5,mA,observable,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,30,I_peak,20,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,30,S_peak,0.0879097809338481,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,32,I_peak,15,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,32,S_peak,0.0695147785421419,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,34,I_peak,30,mA,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,34,S_peak,0.00111194952316543,percent,coordinate,run_2026_03_10_112659_alignment_audit
switching,Amp Temp Dep all_P2P_percent,34,asym,3.08312484040489,unitless,observable,run_2026_03_10_112659_alignment_audit
